50,50,16
0,0,0,nan
1,0,0,nan
2,0,0,nan
3,0,0,nan
4,0,0,-1.188
5,0,0,2.768
6,0,0,1.254
7,0,0,4.653
8,0,0,4.784
9,0,0,4.799
10,0,0,4.773
11,0,0,4.740
12,0,0,4.717
13,0,0,4.715
14,0,0,4.735
15,0,0,4.771
16,0,0,4.811
17,0,0,4.846
18,0,0,4.873
19,0,0,4.893
20,0,0,4.911
21,0,0,4.930
22,0,0,4.953
23,0,0,4.976
24,0,0,4.992
25,0,0,4.997
26,0,0,4.997
27,0,0,4.948
28,0,0,4.457
29,0,0,2.398
30,0,0,nan
31,0,0,nan
32,0,0,nan
33,0,0,nan
34,0,0,nan
35,0,0,nan
36,0,0,2.356
37,0,0,4.025
38,0,0,4.644
39,0,0,4.841
40,0,0,4.900
41,0,0,4.902
42,0,0,1.222
43,0,0,2.954
44,0,0,3.196
45,0,0,-0.592
46,0,0,nan
47,0,0,nan
48,0,0,nan
49,0,0,nan
0,1,0,nan
1,1,0,nan
2,1,0,nan
3,1,0,nan
4,1,0,-0.860
5,1,0,2.861
6,1,0,1.040
7,1,0,4.669
8,1,0,4.790
9,1,0,4.798
10,1,0,4.763
11,1,0,4.714
12,1,0,4.670
13,1,0,4.646
14,1,0,4.649
15,1,0,4.679
16,1,0,4.723
17,1,0,4.770
18,1,0,4.811
19,1,0,4.845
20,1,0,4.877
21,1,0,4.908
22,1,0,4.939
23,1,0,4.968
24,1,0,4.988
25,1,0,4.995
26,1,0,4.991
27,1,0,4.905
28,1,0,4.285
29,1,0,1.985
30,1,0,nan
31,1,0,nan
32,1,0,nan
33,1,0,nan
34,1,0,nan
35,1,0,-2.687
36,1,0,2.446
37,1,0,4.066
38,1,0,4.659
39,1,0,4.846
40,1,0,4.900
41,1,0,-2.244
42,1,0,1.638
43,1,0,3.166
44,1,0,3.116
45,1,0,-0.835
46,1,0,nan
47,1,0,nan
48,1,0,nan
49,1,0,nan
0,2,0,nan
1,2,0,nan
2,2,0,nan
3,2,0,nan
4,2,0,-0.111
5,2,0,3.111
6,2,0,0.306
7,2,0,4.710
8,2,0,4.805
9,2,0,4.793
10,2,0,4.727
11,2,0,4.623
12,2,0,4.497
13,2,0,4.377
14,2,0,4.298
15,2,0,4.282
16,2,0,4.326
17,2,0,4.409
18,2,0,4.509
19,2,0,4.610
20,2,0,4.705
21,2,0,4.790
22,2,0,4.863
23,2,0,4.919
24,2,0,4.954
25,2,0,4.963
26,2,0,4.922
27,2,0,4.666
28,2,0,3.603
29,2,0,0.465
30,2,0,nan
31,2,0,nan
32,2,0,nan
33,2,0,nan
34,2,0,nan
35,2,0,-1.415
36,2,0,2.688
37,2,0,4.174
38,2,0,4.699
39,2,0,4.858
40,2,0,4.900
41,2,0,0.533
42,2,0,2.582
43,2,0,3.665
44,2,0,2.880
45,2,0,-1.707
46,2,0,nan
47,2,0,nan
48,2,0,nan
49,2,0,nan
0,3,0,nan
1,3,0,nan
2,3,0,nan
3,3,0,nan
4,3,0,0.756
5,3,0,3.022
6,3,0,-1.536
7,3,0,4.762
8,3,0,4.821
9,3,0,4.778
10,3,0,4.652
11,3,0,4.427
12,3,0,4.101
13,3,0,3.723
14,3,0,3.387
15,3,0,3.191
16,3,0,3.173
17,3,0,3.311
18,3,0,-0.876
19,3,0,-0.087
20,3,0,0.266
21,3,0,0.383
22,3,0,0.344
23,3,0,0.183
24,3,0,-0.097
25,3,0,-0.527
26,3,0,-1.216
27,3,0,3.819
28,3,0,1.890
29,3,0,nan
30,3,0,nan
31,3,0,nan
32,3,0,nan
33,3,0,nan
34,3,0,nan
35,3,0,-0.477
36,3,0,3.009
37,3,0,4.317
38,3,0,4.751
39,3,0,4.874
40,3,0,0.424
41,3,0,2.393
42,3,0,3.549
43,3,0,4.178
44,3,0,2.510
45,3,0,nan
46,3,0,nan
47,3,0,nan
48,3,0,nan
49,3,0,nan
0,4,0,nan
1,4,0,nan
2,4,0,nan
3,4,0,nan
4,4,0,1.588
5,4,0,1.829
6,4,0,4.589
7,4,0,4.810
8,4,0,4.833
9,4,0,4.747
10,4,0,4.521
11,4,0,4.074
12,4,0,3.354
13,4,0,2.420
14,4,0,-1.962
15,4,0,0.700
16,4,0,0.382
17,4,0,0.556
18,4,0,1.071
19,4,0,1.732
20,4,0,2.402
21,4,0,3.000
22,4,0,3.471
23,4,0,3.464
24,4,0,3.376
25,4,0,3.255
26,4,0,3.090
27,4,0,1.577
28,4,0,nan
29,4,0,nan
30,4,0,nan
31,4,0,nan
32,4,0,nan
33,4,0,nan
34,4,0,nan
35,4,0,0.271
