0,5,0, raw_val: 390.791951979, x^2: -3.05534360502, z: -8, k: 0
0,5,1, raw_val: 390.791951979, x^2: -3.05534360502, z: -7, k: 1
0,5,2, raw_val: 390.791951979, x^2: -3.05534360502, z: -6, k: 2
0,5,3, raw_val: 390.791951979, x^2: -3.05534360502, z: -5, k: 3
0,5,4, raw_val: 390.791951979, x^2: -3.05534360502, z: -4, k: 4
0,5,5, raw_val: 390.791951979, x^2: -3.05534360502, z: -3, k: 5
0,5,6, raw_val: 390.791951979, x^2: -3.05534360502, z: -2, k: 6
0,5,7, raw_val: 390.791951979, x^2: -3.05534360502, z: -1, k: 7
0,5,8, raw_val: 390.791951979, x^2: -3.05534360502, z: 0, k: 8
0,5,9, raw_val: 390.791951979, x^2: -3.05534360502, z: 1, k: 9
0,5,10, raw_val: 390.791951979, x^2: -3.05534360502, z: 2, k: 10
0,5,11, raw_val: 390.791951979, x^2: -3.05534360502, z: 3, k: 11
0,5,12, raw_val: 390.791951979, x^2: -3.05534360502, z: 4, k: 12
0,5,13, raw_val: 390.791951979, x^2: -3.05534360502, z: 5, k: 13
0,5,14, raw_val: 390.791951979, x^2: -3.05534360502, z: 6, k: 14
0,5,15, raw_val: 390.791951979, x^2: -3.05534360502, z: 7, k: 15
0,6,0, raw_val: 372.733389271, x^2: -2.4905801514, z: -8, k: 0
0,6,1, raw_val: 372.733389271, x^2: -2.4905801514, z: -7, k: 1
0,6,2, raw_val: 372.733389271, x^2: -2.4905801514, z: -6, k: 2
0,6,3, raw_val: 372.733389271, x^2: -2.4905801514, z: -5, k: 3
0,6,4, raw_val: 372.733389271, x^2: -2.4905801514, z: -4, k: 4
0,6,5, raw_val: 372.733389271, x^2: -2.4905801514, z: -3, k: 5
0,6,6, raw_val: 372.733389271, x^2: -2.4905801514, z: -2, k: 6
0,6,7, raw_val: 372.733389271, x^2: -2.4905801514, z: -1, k: 7
0,6,8, raw_val: 372.733389271, x^2: -2.4905801514, z: 0, k: 8
0,6,9, raw_val: 372.733389271, x^2: -2.4905801514, z: 1, k: 9
0,6,10, raw_val: 372.733389271, x^2: -2.4905801514, z: 2, k: 10
0,6,11, raw_val: 372.733389271, x^2: -2.4905801514, z: 3, k: 11
0,6,12, raw_val: 372.733389271, x^2: -2.4905801514, z: 4, k: 12
0,6,13, raw_val: 372.733389271, x^2: -2.4905801514, z: 5, k: 13
0,6,14, raw_val: 372.733389271, x^2: -2.4905801514, z: 6, k: 14
0,6,15, raw_val: 372.733389271, x^2: -2.4905801514, z: 7, k: 15
0,7,0, raw_val: 354.187814529, x^2: -1.93839136606, z: -8, k: 0
0,7,1, raw_val: 354.187814529, x^2: -1.93839136606, z: -7, k: 1
0,7,2, raw_val: 354.187814529, x^2: -1.93839136606, z: -6, k: 2
0,7,3, raw_val: 354.187814529, x^2: -1.93839136606, z: -5, k: 3
0,7,4, raw_val: 354.187814529, x^2: -1.93839136606, z: -4, k: 4
0,7,5, raw_val: 354.187814529, x^2: -1.93839136606, z: -3, k: 5
0,7,6, raw_val: 354.187814529, x^2: -1.93839136606, z: -2, k: 6
0,7,7, raw_val: 354.187814529, x^2: -1.93839136606, z: -1, k: 7
0,7,8, raw_val: 354.187814529, x^2: -1.93839136606, z: 0, k: 8
0,7,9, raw_val: 354.187814529, x^2: -1.93839136606, z: 1, k: 9
0,7,10, raw_val: 354.187814529, x^2: -1.93839136606, z: 2, k: 10
0,7,11, raw_val: 354.187814529, x^2: -1.93839136606, z: 3, k: 11
0,7,12, raw_val: 354.187814529, x^2: -1.93839136606, z: 4, k: 12
0,7,13, raw_val: 354.187814529, x^2: -1.93839136606, z: 5, k: 13
0,7,14, raw_val: 354.187814529, x^2: -1.93839136606, z: 6, k: 14
0,7,15, raw_val: 354.187814529, x^2: -1.93839136606, z: 7, k: 15
0,8,0, raw_val: 336.925291572, x^2: -1.44972399004, z: -8, k: 0
0,8,1, raw_val: 336.925291572, x^2: -1.44972399004, z: -7, k: 1
0,8,2, raw_val: 336.925291572, x^2: -1.44972399004, z: -6, k: 2
0,8,3, raw_val: 336.925291572, x^2: -1.44972399004, z: -5, k: 3
0,8,4, raw_val: 336.925291572, x^2: -1.44972399004, z: -4, k: 4
0,8,5, raw_val: 336.925291572, x^2: -1.44972399004, z: -3, k: 5
0,8,6, raw_val: 336.925291572, x^2: -1.44972399004, z: -2, k: 6
0,8,7, raw_val: 336.925291572, x^2: -1.44972399004, z: -1, k: 7
0,8,8, raw_val: 336.925291572, x^2: -1.44972399004, z: 0, k: 8
0,8,9, raw_val: 336.925291572, x^2: -1.44972399004, z: 1, k: 9
0,8,10, raw_val: 336.925291572, x^2: -1.44972399004, z: 2, k: 10
0,8,11, raw_val: 336.925291572, x^2: -1.44972399004, z: 3, k: 11
0,8,12, raw_val: 336.925291572, x^2: -1.44972399004, z: 4, k: 12
0,8,13, raw_val: 336.925291572, x^2: -1.44972399004, z: 5, k: 13
0,8,14, raw_val: 336.925291572, x^2: -1.44972399004, z: 6, k: 14
0,8,15, raw_val: 336.925291572, x^2: -1.44972399004, z: 7, k: 15
0,9,0, raw_val: 323.090433636, x^2: -1.07570906347, z: -8, k: 0
0,9,1, raw_val: 323.090433636, x^2: -1.07570906347, z: -7, k: 1
0,9,2, raw_val: 323.090433636, x^2: -1.07570906347, z: -6, k: 2
0,9,3, raw_val: 323.090433636, x^2: -1.07570906347, z: -5, k: 3
0,9,4, raw_val: 323.090433636, x^2: -1.07570906347, z: -4, k: 4
0,9,5, raw_val: 323.090433636, x^2: -1.07570906347, z: -3, k: 5
0,9,6, raw_val: 323.090433636, x^2: -1.07570906347, z: -2, k: 6
0,9,7, raw_val: 323.090433636, x^2: -1.07570906347, z: -1, k: 7
0,9,8, raw_val: 323.090433636, x^2: -1.07570906347, z: 0, k: 8
0,9,9, raw_val: 323.090433636, x^2: -1.07570906347, z: 1, k: 9
0,9,10, raw_val: 323.090433636, x^2: -1.07570906347, z: 2, k: 10
0,9,11, raw_val: 323.090433636, x^2: -1.07570906347, z: 3, k: 11
0,9,12, raw_val: 323.090433636, x^2: -1.07570906347, z: 4, k: 12
0,9,13, raw_val: 323.090433636, x^2: -1.07570906347, z: 5, k: 13
0,9,14, raw_val: 323.090433636, x^2: -1.07570906347, z: 6, k: 14
0,9,15, raw_val: 323.090433636, x^2: -1.07570906347, z: 7, k: 15
0,10,0, raw_val: 315.011705892, x^2: -0.864558073806, z: -8, k: 0
0,10,1, raw_val: 315.011705892, x^2: -0.864558073806, z: -7, k: 1
0,10,2, raw_val: 315.011705892, x^2: -0.864558073806, z: -6, k: 2
0,10,3, raw_val: 315.011705892, x^2: -0.864558073806, z: -5, k: 3
0,10,4, raw_val: 315.011705892, x^2: -0.864558073806, z: -4, k: 4
0,10,5, raw_val: 315.011705892, x^2: -0.864558073806, z: -3, k: 5
0,10,6, raw_val: 315.011705892, x^2: -0.864558073806, z: -2, k: 6
0,10,7, raw_val: 315.011705892, x^2: -0.864558073806, z: -1, k: 7
0,10,8, raw_val: 315.011705892, x^2: -0.864558073806, z: 0, k: 8
0,10,9, raw_val: 315.011705892, x^2: -0.864558073806, z: 1, k: 9
0,10,10, raw_val: 315.011705892, x^2: -0.864558073806, z: 2, k: 10
0,10,11, raw_val: 315.011705892, x^2: -0.864558073806, z: 3, k: 11
0,10,12, raw_val: 315.011705892, x^2: -0.864558073806, z: 4, k: 12
0,10,13, raw_val: 315.011705892, x^2: -0.864558073806, z: 5, k: 13
0,10,14, raw_val: 315.011705892, x^2: -0.864558073806, z: 6, k: 14
0,10,15, raw_val: 315.011705892, x^2: -0.864558073806, z: 7, k: 15
0,11,0, raw_val: 314.789714462, x^2: -0.858831435008, z: -8, k: 0
0,11,1, raw_val: 314.789714462, x^2: -0.858831435008, z: -7, k: 1
0,11,2, raw_val: 314.789714462, x^2: -0.858831435008, z: -6, k: 2
0,11,3, raw_val: 314.789714462, x^2: -0.858831435008, z: -5, k: 3
0,11,4, raw_val: 314.789714462, x^2: -0.858831435008, z: -4, k: 4
0,11,5, raw_val: 314.789714462, x^2: -0.858831435008, z: -3, k: 5
0,11,6, raw_val: 314.789714462, x^2: -0.858831435008, z: -2, k: 6
0,11,7, raw_val: 314.789714462, x^2: -0.858831435008, z: -1, k: 7
0,11,8, raw_val: 314.789714462, x^2: -0.858831435008, z: 0, k: 8
0,11,9, raw_val: 314.789714462, x^2: -0.858831435008, z: 1, k: 9
0,11,10, raw_val: 314.789714462, x^2: -0.858831435008, z: 2, k: 10
